what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1455000137060
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1455000143522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455000143849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455000164521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455000164606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455000168594
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1455000174622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455000177362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455000180819
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1455000180831
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1455000180831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455000184083
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1455000187047
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1455000187083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455000187183
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1455000187193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1455000187194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455000192511
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1455000196544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1455000196675
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1455000196683
